K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00018,260,Metabolism ,Amino acid metabolism ,Glycine
K00018,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00018,680,Metabolism ,Energy metabolism,Methane metabolism 
K00019,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00019,72,Metabolism ,Lipid metabolism,Synthesis and degradation of ketone bodies 
K00020,280,Metabolism ,Amino acid metabolism ,Valine
K00021,4976,Organismal Systems,Digestive system,Bile secretion 
K00021,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K00021,4152,Environmental Information Processing,Signal transduction,AMPK signaling pathway 
K00023,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00023,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00024,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K00024,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00024,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00024,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00024,680,Metabolism ,Energy metabolism,Methane metabolism 
K00024,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00024,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K00027,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00027,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00029,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00029,3320,Organismal Systems,Endocrine system,PPAR signaling pathway 
K00029,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K00030,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00031,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00031,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00031,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00031,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K00031,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K00032,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00032,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K00033,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00033,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K00034,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00035,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00036,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00036,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00036,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K00036,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K00038,140,Metabolism ,Lipid metabolism,Steroid hormone biosynthesis 
K00039,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00040,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00041,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00042,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00043,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00045,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00048,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00048,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00051,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00051,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K00052,290,Metabolism ,Amino acid metabolism ,Valine
K00052,660,Metabolism ,Carbohydrate metabolism,C5-Branched dibasic acid metabolism 
K00053,290,Metabolism ,Amino acid metabolism ,Valine
K00053,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00054,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K00055,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00055,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00055,622,Metabolism ,Xenobiotics biodegradation and metabolism,Xylene degradation 
K00055,623,Metabolism ,Xenobiotics biodegradation and metabolism,Toluene degradation 
K00057,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00058,260,Metabolism ,Amino acid metabolism ,Glycine
K00058,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K00058,680,Metabolism ,Energy metabolism,Methane metabolism 
K00059,333,Metabolism ,Biosynthesis of other secondary metabolites,Prodigiosin biosynthesis 
K00059,61,Metabolism ,Lipid metabolism,Fatty acid biosynthesis 
K00059,780,Metabolism ,Metabolism of cofactors and vitamins,Biotin metabolism 
K00060,260,Metabolism ,Amino acid metabolism ,Glycine
K00061,830,Metabolism ,Metabolism of cofactors and vitamins,Retinol metabolism 
K00064,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00064,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K00065,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00066,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00066,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00066,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00067,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K00067,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K00067,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K00068,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00073,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00074,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00074,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00074,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K00075,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00075,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K00076,121,Metabolism ,Lipid metabolism,Secondary bile acid biosynthesis 
K00077,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00082,740,Metabolism ,Metabolism of cofactors and vitamins,Riboflavin metabolism 
K00086,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00086,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00087,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00088,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00088,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K00090,260,Metabolism ,Amino acid metabolism ,Glycine
K00090,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00090,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00090,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00094,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00096,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00097,750,Metabolism ,Metabolism of cofactors and vitamins,Vitamin B6 metabolism 
K00099,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K00100,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00101,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00102,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00103,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K00104,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00105,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00106,232,Metabolism ,Biosynthesis of other secondary metabolites,Caffeine metabolism 
K00106,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00106,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K00106,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K00107,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K00108,260,Metabolism ,Amino acid metabolism ,Glycine
K00109,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00111,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00112,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00113,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00114,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00114,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00114,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K00116,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00116,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00117,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00121,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00121,5204,Human Diseases,Cancer: overview ,Chemical carcinogenesis 
K00121,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00121,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00121,680,Metabolism ,Energy metabolism,Methane metabolism 
K00121,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00121,830,Metabolism ,Metabolism of cofactors and vitamins,Retinol metabolism 
K00121,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K00121,626,Metabolism ,Xenobiotics biodegradation and metabolism,Naphthalene degradation 
K00121,980,Metabolism ,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450 
K00121,982,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450 
K00122,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00122,680,Metabolism ,Energy metabolism,Methane metabolism 
K00123,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00123,680,Metabolism ,Energy metabolism,Methane metabolism 
K00124,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00124,680,Metabolism ,Energy metabolism,Methane metabolism 
K00125,680,Metabolism ,Energy metabolism,Methane metabolism 
K00126,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00126,680,Metabolism ,Energy metabolism,Methane metabolism 
K00127,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00127,680,Metabolism ,Energy metabolism,Methane metabolism 
K00128,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00128,280,Metabolism ,Amino acid metabolism ,Valine
K00128,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00128,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K00128,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K00128,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00128,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00128,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K00128,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00128,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00128,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00128,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00128,903,Metabolism ,Metabolism of terpenoids and polyketides,Limonene and pinene degradation 
K00128,981,Metabolism ,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis 
K00128,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K00129,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00129,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00129,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K00129,5204,Human Diseases,Cancer: overview ,Chemical carcinogenesis 
K00129,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00129,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00129,980,Metabolism ,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450 
K00129,982,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450 
K00130,260,Metabolism ,Amino acid metabolism ,Glycine
K00131,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00131,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00132,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00132,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00133,260,Metabolism ,Amino acid metabolism ,Glycine
K00133,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K00133,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K00133,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K00134,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00134,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K00134,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K00134,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K00134,5130,Human Diseases,Infectious disease: bacterial ,Pathogenic Escherichia coli infection 
K00134,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K00134,4066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway 
K00135,250,Metabolism ,Amino acid metabolism ,Alanine
K00135,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00135,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00135,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00135,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00137,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00137,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00137,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00138,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00138,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00140,280,Metabolism ,Amino acid metabolism ,Valine
K00140,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00140,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K00140,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00141,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K00141,622,Metabolism ,Xenobiotics biodegradation and metabolism,Xylene degradation 
K00141,623,Metabolism ,Xenobiotics biodegradation and metabolism,Toluene degradation 
K00145,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K00146,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00146,643,Metabolism ,Xenobiotics biodegradation and metabolism,Styrene degradation 
K00147,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00147,332,Metabolism ,Biosynthesis of other secondary metabolites,Carbapenem biosynthesis 
K00148,680,Metabolism ,Energy metabolism,Methane metabolism 
K00148,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K00150,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00150,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K00151,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00156,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00158,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00161,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00161,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00161,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00161,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00161,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K00161,4922,Organismal Systems,Endocrine system,Glucagon signaling pathway 
K00161,4066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway 
K00162,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00162,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00162,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00162,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00162,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K00162,4922,Organismal Systems,Endocrine system,Glucagon signaling pathway 
K00162,4066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway 
K00163,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00163,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00163,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00164,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00166,280,Metabolism ,Amino acid metabolism ,Valine
K00166,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00167,280,Metabolism ,Amino acid metabolism ,Valine
K00167,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00169,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00169,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00169,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00169,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00169,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00169,680,Metabolism ,Energy metabolism,Methane metabolism 
K00169,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00169,633,Metabolism ,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation 
K00170,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00170,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00170,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00170,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00170,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00170,680,Metabolism ,Energy metabolism,Methane metabolism 
K00170,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00170,633,Metabolism ,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation 
K00171,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00171,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00171,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00171,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00171,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00171,680,Metabolism ,Energy metabolism,Methane metabolism 
K00171,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00171,633,Metabolism ,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation 
K00172,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00172,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00172,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00172,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00172,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00172,680,Metabolism ,Energy metabolism,Methane metabolism 
K00172,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00172,633,Metabolism ,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation 
K00174,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00174,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00174,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00174,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00174,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00175,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00175,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00175,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00175,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00175,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00176,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00176,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00177,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00177,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00184,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00185,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00186,280,Metabolism ,Amino acid metabolism ,Valine
K00187,280,Metabolism ,Amino acid metabolism ,Valine
K00188,280,Metabolism ,Amino acid metabolism ,Valine
K00192,680,Metabolism ,Energy metabolism,Methane metabolism 
K00193,680,Metabolism ,Energy metabolism,Methane metabolism 
K00194,680,Metabolism ,Energy metabolism,Methane metabolism 
K00194,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00195,680,Metabolism ,Energy metabolism,Methane metabolism 
K00196,680,Metabolism ,Energy metabolism,Methane metabolism 
K00196,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00196,633,Metabolism ,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation 
K00197,680,Metabolism ,Energy metabolism,Methane metabolism 
K00197,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00198,680,Metabolism ,Energy metabolism,Methane metabolism 
K00198,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00198,633,Metabolism ,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation 
K00200,680,Metabolism ,Energy metabolism,Methane metabolism 
K00201,680,Metabolism ,Energy metabolism,Methane metabolism 
K00202,680,Metabolism ,Energy metabolism,Methane metabolism 
K00203,680,Metabolism ,Energy metabolism,Methane metabolism 
K00204,680,Metabolism ,Energy metabolism,Methane metabolism 
K00205,680,Metabolism ,Energy metabolism,Methane metabolism 
K00207,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00207,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00207,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00207,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K00208,333,Metabolism ,Biosynthesis of other secondary metabolites,Prodigiosin biosynthesis 
K00208,61,Metabolism ,Lipid metabolism,Fatty acid biosynthesis 
K00208,780,Metabolism ,Metabolism of cofactors and vitamins,Biotin metabolism 
K00209,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00209,61,Metabolism ,Lipid metabolism,Fatty acid biosynthesis 
K00211,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K00213,100,Metabolism ,Lipid metabolism,Steroid biosynthesis 
